,Name,Year,GroupNum,Status,Birth_Date,Birth_Place,Gender,Alma_Mater,Undergraduate_Major,Graduate_Major,Military_Rank,Military_Branch,Space_Flights,Space_Flight_hr,Space_Walks,Space_Walks_hr,Missions,Death_Date,Death_Mission
0,Alan B. Shepard Jr.,1959,1,Deceased,18-11-1923,"East Derry, NH",Male,US Naval Academy,Naval Sciences,Naval Science,Rear Admiral,US Navy (Retired),2,216,2,9,"Mercury 3, Apollo 14",21-07-1998,Natural causes
1,Alan G. Poindexter,1998,17,Deceased,5/11/61,"Pasadena, CA",Male,Georgia Institute of Technology; US Naval Post...,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy,2,669,0,0,"STS-122 (Atlantis), STS-131 (Discovery)",1/7/12,Personal watercraft accident
2,Alan L. Bean,1963,3,Deceased,15-03-1932,"Wheeler, TX",Male,University of Texas,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,1671,3,10,"Apollo 12, Skylab 3",26-05-2018,Natural causes
3,Albert Sacco Jr.,1963,3,Retired,3/5/49,"Boston, MA",Male,Northeastern University; MIT,Chemical Engineering,Chemical Engineering,Captain,US Navy (Retired),1,381,0,0,STS-73 (Columbia),NaN,NaN
4,Alfred M. Worden,1966,5,Retired,7/2/32,"Jackson, MI",Male,US Military Academy; University of Michigan,Military Science,Aeronautical & Astronautical Engineering,Colonel,US Air Force (Retired),1,295,1,0.5,Apollo 15,NaN,NaN
5,Alvin B. Drew Jr.,2000,18,Active,5/11/62,"Washington, DC",Male,US Air Force Academy; Embry-Riddle Aeronautica...,Physics & Astronautical Engineering,Aerospace Science; Political Science,Colonel,US Air Force,2,613,2,13,"STS-118 (Endeavor), STS-133 (Discovery)",NaN,NaN
6,Andrew J. Feustel,2000,18,Active,25-08-1965,"Lancaster, PA",Male,Purdue University; Queen’s University-Canada,Solid Earth Sciences,Geophysics; Seismology,Colonel,US Air Force,2,687,6,42,"STS-125 (Atlantis), STS-134 (Endeavor)",NaN,NaN
7,Andrew M. Allen,1987,12,Retired,4/8/55,"Philadelphia, PA",Male,Villanova University; University of Florida,Mechanical Engineering,Business Administration,Lieutenant Colonel,US Marine Corps (Retired),3,906,0,0,"STS-46 (Atlantis), STS-62 (Columbia), STS-75 (...",NaN,NaN
8,Andrew S. W. Thomas,1992,14,Management,18-12-1951,"Adelaide, Australia",Male,University of Adelaide,Mechanical Engineering,Mechanical Engineering,Lieutenant Colonel,US Marine Corps (Retired),4,4257,1,6,"STS-77 (Endeavor), STS-89/91 (Endeavor/Discove...",NaN,NaN
9,Anna L. Fisher,1978,8,Management,24-08-1949,"New York, NY",Female,University of California-Los Angeles,Chemistry,Chemistry; Medicine,Lieutenant Colonel,US Marine Corps (Retired),1,191,0,0,STS 51-A (Discovery),NaN,NaN
10,Anthony W. England,1967,6,Retired,15-05-1942,"Indianapolis, IN",Male,MIT,Geology,Geology; Geophysics,Lieutenant Colonel,US Marine Corps (Retired),1,190,0,0,STS 51-F (Challenger),NaN,NaN
11,Barbara R. Morgan,1998,17,Retired,28-11-1951,"Fresno, CA",Female,Stanford University,Human Biology,Geology; Geophysics,Lieutenant Colonel,US Marine Corps (Retired),1,305,0,0,STS-118 (Endeavor),NaN,NaN
12,Barry E. Wilmore,2000,18,Active,29-12-1962,"Murfreesboro, TN",Male,Tennessee Technological University; University...,Electrical Engineering,Electrical Engineering; Aviation Systems,Captain,US Navy,2,4272,4,25,"STS-129 (Atlantis), ISS-41/42 (Soyuz)",NaN,NaN
13,Bernard A. Harris Jr.,1990,13,Retired,26-06-1956,"Temple, TX",Male,University of Houston; Texas Tech University,Biology,Medicine,Captain,US Navy,2,438,1,5,"STS-55 (Columbia), STS-63 (Discovery)",NaN,NaN
14,Bill Nelson,1990,13,Retired,29-09-1942,"Miami, FL",Male,Yale University; University of Virginia,Biology,Law,Captain,US Army (Retired),1,146,0,0,STS 61-C (Columbia),NaN,NaN
15,Bonnie J. Dunbar,1980,9,Retired,3/3/49,"Sunnyside, WA",Female,University of Washington; University of Houston,Ceramic Engineering,Ceramic Engineering; Biomedical Engineering,Captain,US Army (Retired),5,1207,0,0,"STS 61-A (Challenger), STS-32 (Columbia), STS-...",NaN,NaN
16,Brent W. Jett,1992,14,Retired,5/10/58,"Pontiac, MI",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),4,1002,0,0,"STS-72 (Endeavor), STS-81 (Atlantis), STS-97 (...",NaN,NaN
17,Brewster H. Shaw Jr.,1978,8,Retired,16-05-1945,"Cass City, MI",Male,University of Wisconsin,Engineering Mechanics,Engineering Mechanics,Colonel,US Air Force (Retired),3,533,0,0,"STS-9 (Columbia), STS 61-B (Atlantis), STS-28 ...",NaN,NaN
18,Brian Duffy,1985,11,Retired,20-06-1953,"Boston, MA",Male,US Air Force Academy; University of Southern C...,Mathematics,Systems Management,Colonel,US Air Force (Retired),4,977,0,0,"STS-45 (Atlantis), STS-57 (Endeavor), STS-72 (...",NaN,NaN
19,Brian T. O'Leary,1967,6,Deceased,27-01-1940,"Boston, MA",Male,Williams College; Georgetown University; Unive...,Physics,Astronomy,Colonel,US Air Force (Retired),0,0,0,0,"STS-45 (Atlantis), STS-57 (Endeavor), STS-72 (...",28-07-2011,Due to cancer
20,Bruce E. Melnick,1987,12,Retired,5/12/49,"New York, NY",Male,US Coast Guard Academy; West Florida University,Engineering,Aeronautical Systems,Commander,US Coast Guard (Retired),2,311,0,0,"STS-41 (Discovery), STS-49 (Endeavor)",NaN,NaN
21,Bruce McCandless II,1966,5,Retired,8/6/37,"Boston, MA",Male,US Naval Academy; Stanford University; Univers...,Engineering,Electrical Engineering; Business Administration,Captain,US Navy (Retired),2,312,2,12,"STS 41-B (Challenger), STS-31 (Discovery)",NaN,NaN
22,Bryan D. O'Connor,1980,9,Retired,6/9/46,"Orange, CA",Male,US Naval Academy; West Florida University,Engineering,Aeronautical Systems,Colonel,US Marine Corps (Retired),2,383,0,0,"STS 61-B (Atlantis), STS-40 (Columbia)",NaN,NaN
23,Buzz Aldrin,1963,3,Retired,20-01-1930,"Montclair, NJ",Male,US Military Academy; MIT,Mechanical Engineering,Astronautics,Colonel,US Air Force (Retired),2,289,2,8,"Gemini 12, Apollo 11",NaN,NaN
24,Byron K. Lichtenberg,1963,3,Retired,19-02-1948,"Stroudsburg, PA",Male,Brown University; MIT,Aerospace Engineering,Mechanical Engineering; Biomedical Engineering,Colonel,US Air Force (Retired),2,461,0,0,"STS-9 (Columbia), STS-45 (Atlantis)",NaN,NaN
25,C. Gordon Fullerton,1969,7,Retired,11/10/36,"Rochester, NY",Male,California Institute of Technology,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),2,382,0,0,"STS-3 (Columbia), STS 51-F (Challenger)",NaN,NaN
26,C. Michael Foale,1987,12,Active,6/1/57,"Louth, England",Male,Cambridge University,Physics,Laboratory Astrophysics,Colonel,US Air Force (Retired),6,8970,4,22,"STS-45 (Atlantis), STS-56 (Discovery), STS-63 ...",NaN,NaN
27,Carl E. Walz,1990,13,Retired,6/9/55,"Cleveland, OH",Male,Kent State University; John Carroll University,Physics,Solid State Physics,Colonel,US Air Force,4,5533,3,19,"STS-51 (Discovery), STS-65 (Columbia), STS-79 ...",NaN,NaN
28,Carl J. Meade,1985,11,Retired,16-11-1950,"Chanute Air Force Base, IL",Male,University of Texas; California Institute of T...,Electronics Engineering,Electronics Engineering,Colonel,US Air Force (Retired),3,712,1,6,"STS-38 (Atlantis), STS-50 (Columbia), STS-64 (...",NaN,NaN
29,Carlos I. Noriega,1995,15,Retired,8/10/59,"Lima, Peru",Male,University of Southern California; US Naval Po...,Computer Science,Computer Science; Space Systems Operations,Lieutenant Colonel,US Marine Corps (Retired),2,481,3,19,"STS-84 (Atlantis), STS-97 (Endeavor)",NaN,NaN
30,Catherine G. Coleman,1992,14,Active,14-12-1960,"Charleston, SC",Female,MIT; University of Massachusetts,Chemistry,Polymer Science & Engineering,Colonel,US Air Force (Retired),3,4324,0,0,"STS-73 (Columbia), STS-93 (Columbia), ISS-26/2...",NaN,NaN
31,Charles A. Bassett II,1963,3,Deceased,30-12-1931,"Dayton, OH",Male,Texas Technological College,Electrical Engineering,Polymer Science & Engineering,Captain,US Air Force,0,0,0,0,"STS-73 (Columbia), STS-93 (Columbia), ISS-26/2...",28-02-1966,T-38 Talon jet aircraft
32,Charles Conrad Jr.,1962,2,Deceased,2/5/30,"Philadelphia, PA",Male,Princeton University,Aeronautical Engineering,Polymer Science & Engineering,Captain,US Navy (Retired),4,1179,4,12,"Gemini 5, Gemini 11, Apollo 12, Skylab 2",8/7/99,Motorcycle accident
33,Charles D. Gemar,1985,11,Retired,4/8/55,"Yanktown, SD",Male,US Military Academy,Engineering,Polymer Science & Engineering,Lieutenant Colonel,US Army,3,581,0,0,"STS-38 (Atlantis), STS-48 (Discovery), STS-62 ...",NaN,NaN
34,Charles D. Walker,1985,11,Retired,29-08-1948,"Bedford, IN",Male,Purdue University,Aeronautical & Astronautical Engineering,Polymer Science & Engineering,Lieutenant Colonel,US Army,3,477,0,0,"STS 41-D (Discovery), STS 51-D (Discovery), ST...",NaN,NaN
35,Charles E. Brady Jr.,1992,14,Deceased,12/8/51,"Pinehurst, NC",Male,University of North Carolina at Chapel Hill; D...,Aeronautical & Astronautical Engineering,Medicine,Captain,US Navy,1,405,0,0,STS-78 (Columbia),23-07-2006,Natural causes
36,Charles F. Bolden Jr.,1980,9,Management,19-08-1946,"Columbia, SC",Male,US Naval Academy; University of Southern Calif...,Electrical Science,Systems Management,Major General,US Marine Corps (Retired),4,680,0,0,"STS-61C (Columbia), STS-31 (Discovery), STS-45...",NaN,NaN
37,Charles J. Camarda,1996,16,Management,8/5/52,"Queens, NY",Male,Polytechnic Institute of Brooklyn; George Wash...,Aerospace Engineering,Engineering Science; Aerospace Engineering,Major General,US Marine Corps (Retired),1,333,0,0,STS-114 (Discovery),NaN,NaN
38,Charles J. Precourt,1990,13,Retired,29-06-1955,"Waltham, MA",Male,US Air Force Academy; Golden Gate University; ...,Aeronautical Engineering,Engineering Management; Strategic Studies,Colonel,US Air Force (Retired),4,950,0,0,"STS-55 (Columbia), STS-71 (Atlantis), STS-84 (...",NaN,NaN
39,Charles Lacy Veach,1984,10,Deceased,18-09-1944,"Chicago, IL",Male,US Air Force Academy,Engineering Management,Engineering Management; Strategic Studies,Colonel,US Air Force (Retired),2,436,0,0,"STS-39 (Discovery), STS-52 (Columbia)",1/7/12,Due to cancer
40,Charles M. Duke Jr.,1966,5,Retired,3/10/35,"Charlotte, NC",Male,US Naval Academy; MIT,Naval Sciences,Aeronautics,Brigadier General,US Air Force (Retired),1,265,3,20,Apollo 16,NaN,NaN
41,Charles O. Hobaugh,1996,16,Retired,5/11/61,"Bar Harbor, ME",Male,US Naval Academy,Aerospace Engineering,Aeronautics,Colonel,US Marine Corps (Retired),3,873,0,0,"STS-104 (Atlantis), STS-118 (Endeavor), ST-129...",NaN,NaN
42,Christopher J. Cassidy,2004,19,Active,4/1/70,"Salem, MA",Male,US Naval Academy; MIT,Mathematics,Ocean Engineering,Commander,US Navy,1,4376,6,31,STS-127 (Endeavor); ISS-35/36 (Soyuz),NaN,NaN
43,Christopher J. Ferguson,1998,17,Retired,1/9/61,"Philadelphia, PA",Male,Drexel University; US Naval Postgraduate School,Mechanical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,970,0,0,"STS-115 (Atlantis), STS-126 (Endeavor), STS-13...",NaN,NaN
44,Christopher J. Loria,1996,16,Retired,9/7/60,"Belmont, MA",Male,US Naval Academy; Harvard University,Engineering,Public Administration,Colonel,US Marine Corps (Retired),0,0,0,0,"STS-115 (Atlantis), STS-126 (Endeavor), STS-13...",NaN,NaN
45,Clayton C. Anderson,1998,17,Retired,23-02-1959,"Omaha, NE",Male,Hastings College; Iowa State University,Physics,Aerospace Engineering,Colonel,US Marine Corps (Retired),2,4005,6,38,"STS-117/120 (Atlantis/Discovery), STS-131 (Dis...",NaN,NaN
46,Clifton C. Williams Jr.,1963,3,Deceased,26-09-1932,"Mobile, AL",Male,Auburn University,Mechanical Engineering,Aerospace Engineering,Major,US Marine Corps,0,0,0,0,"STS-117/120 (Atlantis/Discovery), STS-131 (Dis...",5/10/67,T-38 jet trainer crash
47,Curtis L. Brown Jr.,1987,12,Retired,11/3/56,"Elizabethtown, NC",Male,US Air Force Academy,Electrical Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),6,1383,0,0,"STS-47 (Endeavor), STS-66 (Atlantis), STS-77 (...",NaN,NaN
48,Dale A. Gardner,1978,8,Retired,8/11/48,"Fairmont, MN",Male,University of Illinois,Engineering Physics,Aerospace Engineering,Captain,US Navy (Retired),2,336,2,12,"STS-8 (Challenger), STS 51-A (Discovery)",NaN,NaN
49,Daniel C. Brandenstein,1978,8,Retired,17-01-1943,"Watertown, WI",Male,University of Wisconsin,Mathematics & Physics,Aerospace Engineering,Captain,US Navy (Retired),4,789,0,0,"STS-8 (Challenger), STS 51-G (Discovery), STS-...",NaN,NaN
50,Daniel C. Burbank,1996,16,Active,27-07-1961,"Machester, CT",Male,US Coast Guard Academy; Embry-Riddle Aeronauti...,Electrical Engineering,Aeronautical Science,Captain,US Coast Guard (Retired),3,4512,1,7,"STS-106 (Atlantis), STS-115 (Atlantis), ISS-29...",NaN,NaN
51,Daniel M. Tani,1996,16,Retired,1/2/61,"Ridley Park, PA",Male,MIT,Mechanical Engineering,Mechanical Engineering,Captain,US Coast Guard (Retired),2,3162,6,39,"STS-108 (Endeavor), STS-120/122 (Discovery/Atl...",NaN,NaN
52,Daniel T. Barry,1992,14,Retired,30-12-1953,"Norwalk, CT",Male,Cornell University; Princeton University; Univ...,Electrical Engineering,Electrical Engineering; Computer Science; Medi...,Captain,US Coast Guard (Retired),3,733,4,26,"STS-72 (Endeavor), STS-96 (Discovery), STS-105...",NaN,NaN
53,Daniel W. Bursch,1990,13,Retired,25-07-1957,"Bristol, PA",Male,US Naval Academy; US Naval Postgraduate School,Physics,Engineering Science,Captain,US Navy (Retired),4,5446,2,12,"STS-51 (Discovery), STS-68 (Endeavor), STS-77 ...",NaN,NaN
54,David A. Wolf,1990,13,Retired,23-08-1956,"Indianapolis, IN",Male,Purdue University; Indiana University,Electrical Engineering,Medicine,Captain,US Navy (Retired),3,4044,7,41,STS-58 (Columbia). STS-86/89 (Atlantis/Endeavo...,NaN,NaN
55,David C. Hilmers,1980,9,Retired,28-01-1950,"Clinton, IA",Male,Cornell University; US Naval Postgraduate School,Mathematics,Electrical Engineering,Colonel,US Marine Corps (Retired),4,494,0,0,"ST 51-J (Atlantis), STS-26 (Discovery), STS-36...",NaN,NaN
56,David C. Leestma,1980,9,Management,6/5/49,"Muskegon, MI",Male,US Naval Academy; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,532,1,3,"STS 41-G (Challenger), STS-28 (Columbia), STS-...",NaN,NaN
57,David M. Brown,1996,16,Deceased,16-04-1956,"Arlington, VA",Male,College of William & Mary; Eastern Virginia Me...,Biology,Medicine,Captain,US Navy,1,382,0,0,STS-107 (Columbia),1/2/03,STS-107 (Columbia)
58,David M. Walker,1978,8,Deceased,20-05-1944,"Columbus, GA",Male,US Naval Academy,Naval Sciences,Medicine,Captain,US Navy (Retired),4,724,0,0,"STS 51-A (Discovery), STS-30 (Atlantis), STS-5...",23-04-2001,Plane crash
59,David R. Scott,1963,3,Retired,6/6/32,"San Antonio, TX",Male,US Military Academy; MIT,Naval Sciences,Aeronautics & Astronautics,Colonel,US Air Force (Retired),3,546,4,19,"Gemini 8, Apollo 9, Apollo 15",NaN,NaN
60,Dominic A. Antonelli,2000,18,Active,23-08-1967,"Detroit, MI",Male,MIT; University of Washington,Aeronautics & Astronautics,Aeronautics & Astronautics,Commander,US Navy,2,579,0,0,"STS-119 (Discovery), STS-132 (Atlantis)",NaN,NaN
61,Dominic L. Gorie,1995,15,Retired,2/5/57,"Lake Charles, LA",Male,US Naval Academy; University of Tennessee,Ocean Engineering,Aviation Systems,Captain,US Navy (Retired),4,1167,0,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-123...",NaN,NaN
62,Don L. Lind,1966,5,Retired,18-05-1930,"Midvale, UT",Male,University of Utah; University of California-B...,Physics,Nuclear Physics,Captain,US Navy (Retired),1,168,0,0,STS 51-B (Challenger),NaN,NaN
63,Donald A. Thomas,1990,13,Retired,6/5/55,"Cleveland, OH",Male,Case Western Reserve University; Cornell Unive...,Physics,Materials Science,Captain,US Navy (Retired),4,1040,0,0,"STS-65 (Columbia), STS-70 (Discovery), STS-83 ...",NaN,NaN
64,Donald E. Williams,1978,8,Retired,13-02-1958,"Lafayette, IN",Male,Purdue University,Mechanical Engineering,Materials Science,Captain,US Navy (Retired),2,287,0,0,"STS 51-D (Discovery), STS-34 (Atlantis)",NaN,NaN
65,Donald H. Peterson,1969,7,Retired,22-10-1933,"Winona, MS",Male,US Military Academy; US Air Force Institute of...,Mechanical Engineering,Nuclear Engineering,Colonel,US Air Force (Retired),1,120,1,4,STS-6 (Challenger),NaN,NaN
66,Donald K. Slayton,1959,1,Deceased,1/3/24,"Sparta, WI",Male,University of Minnesota,Aeronautical Engineering,Nuclear Engineering,Major,US Air Force Reserves,1,217,0,0,Apollo-Soyuz Test Project,13-06-1993,Natural causes
67,Donald L. Holmquest,1967,6,Retired,7/4/39,"Dallas, TX",Male,Southern Methodist University; Baylor Universi...,Electrical Engineering,Physiology; Medicine; Law,Major,US Air Force Reserves,0,0,0,0,Apollo-Soyuz Test Project,NaN,NaN
68,Donald R. McMonagle,1987,12,Retired,14-05-1952,"Flint, MI",Male,US Air Force Academy; California State Univers...,Astronautical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),3,605,0,0,"STS-39 (Discovery), STS-54 (Endeavor), STS-66 ...",NaN,NaN
69,Donald R. Pettit,1996,16,Active,20-04-1955,"Silverton, OR",Male,Oregon State University; University of Arizona,Chemical Engineering,Chemical Engineering,Colonel,US Air Force (Retired),3,8872,2,13,"ISS-6 (Soyuz), STS-126 (Endeavor), ISS-30/31 (...",NaN,NaN
70,Donn F. Eisele,1963,3,Deceased,23-05-1930,"Columbus, OH",Male,US Naval Academy; US Air Force Institute of Te...,Astronautics,Astronautics,Colonel,US Air Force (Retired),1,260,0,0,Apollo 7,2/12/87,Natural causes
71,Dorothy M. Metcalf-Lindenberger,2004,19,Active,2/5/75,"Colorado Springs, CO",Female,Whitman College,Geology,Astronautics,Colonel,US Air Force (Retired),1,362,0,0,STS-131 (Discovery),NaN,NaN
72,Douglas G. Hurley,2000,18,Active,21-10-1966,"Endicott, NY",Male,Tulane University,Civil Engineering,Astronautics,Colonel,US Marine Corps,2,683,0,0,"STS-127 (Endeavor), STS-135 (Atlantis)",NaN,NaN
73,Douglas H. Wheelock,1998,17,Active,5/5/60,"Binghamton, NY",Male,US Military Academy; Georgia Institute of Tech...,Applied Science & Engineering,Aerospace Engineering,Colonel,US Army,2,4281,6,43,"STS-120 (Discovery), ISS-24/25 (Soyuz)",NaN,NaN
74,Duane E. Graveline,1965,4,Retired,2/3/31,"Newport, VT",Male,University of Vermont; Johns Hopkins University,Applied Science & Engineering,Public Health; Medicine,Colonel,US Army,0,0,0,0,"STS-120 (Discovery), ISS-24/25 (Soyuz)",NaN,NaN
75,Duane G. Carey,1996,16,Retired,30-04-1957,"St. Paul, MN",Male,University of Minnesota-Minneapolis,Aerospace Engineering & Mechanics,Aerospace Engineering,Lieutenant Colonel,US Air Force (Retired),1,262,0,0,STS-109 (Columbia),NaN,NaN
76,E. Michael Fincke,1996,16,Active,14-03-1967,"Pittsburgh, PA",Male,MIT; Stanford University; University of Housto...,"Aeronautics & Astronautics; Earth, Atmospheric...",Aeronautics & Astronautics; Physical Sciences,Colonel,US Air Force,3,9159,9,48,"ISS-09 (Soyuz), ISS-18 (Soyuz), STS-134 (Endea...",NaN,NaN
77,Edgar D. Mitchell,1966,5,Retired,17-09-1930,"Hereford, TX",Male,Carnegie-Mellon University; US Naval Postgradu...,Industrial Management,Aeronautical Engineering; Aeronautics & Astron...,Captain,US Navy (Retired),1,216,2,9,Apollo 14,NaN,NaN
78,Edward G. Gibson,1965,4,Retired,8/11/36,"Buffalo, NY",Male,University of Rochester; California Institute ...,Engineering,Engineering,Captain,US Navy (Retired),1,2017,3,15,Skylab 4,NaN,NaN
79,Edward G. Givens Jr.,1966,5,Deceased,5/1/30,"Quanah, TX",Male,US Naval Academy,Naval Sciences,Engineering,Major,US Air Force,0,0,0,0,Skylab 4,6/6/67,Automobile accident
80,Edward H. White II,1962,2,Deceased,14-11-1930,"San Antonio, TX",Male,US Military Academy; University of Michigan,Naval Sciences,Aeronautical Engineering,Lieutenant Colonel,US Air Force,2,97,1,0.5,"Gemini 4, Apollo 1",27-01-1967,Apollo 1
81,Edward T. Lu,1995,15,Retired,1/7/63,"Springfield, MA",Male,Cornell University; Stanford University,Electrical Engineering,Applied Physics,Lieutenant Colonel,US Air Force,3,4962,1,6,"STS-84 (Atlantis), STS-106 (Atlantis), ISS-07 ...",NaN,NaN
82,Eileen M. Collins,1990,13,Retired,19-11-1959,"Elmira, NY",Female,Syracuse University; Stanford University; Webs...,Mathematics & Economics,Operations Research; Space Systems Management,Colonel,US Air Force (Retired),4,890,0,0,"STS-63 (Discovery), STS-84 (Atlantis), STS-114...",NaN,NaN
83,Ellen Ochoa,1990,13,Management,10/5/58,"Los Angeles, CA",Female,San Diego State University; Stanford University,Physics,Electrical Engineering,Colonel,US Air Force (Retired),4,979,0,0,"STS-56 (Discovery), STS-66 (Atlantis), STS-96 ...",NaN,NaN
84,Ellen S. Baker,1984,10,Retired,27-04-1953,"Fayettesville, NC",Female,State University of New York-Buffalo; Cornell ...,Geology,Medicine; Public Health,Colonel,US Air Force (Retired),3,686,0,0,"STS-34 (Atlantis), STS-50 (Columbia), STS-71 (...",NaN,NaN
85,Elliot M. See Jr.,1962,2,Deceased,23-07-1927,"Dallas, TX",Male,US Merchant Marine Academy; University of Cali...,Geology,Engineering,Colonel,US Air Force (Retired),0,0,0,0,"STS-34 (Atlantis), STS-50 (Columbia), STS-71 (...",28-02-1966,T-38 jet aircraft
86,Ellison S. Onizuka,1978,8,Deceased,24-06-1946,"Kealakekua, HI",Male,University of Colorado,Aerospace Engineering,Aerospace Engineering,Lieutenant Colonel,US Air Force,2,73,0,0,"STS 51-C (Discovery), STS 51-L (Challenger)",28-01-1986,STS 51-L (Challenger)
87,Eric A. Boe,2000,18,Active,1/10/64,"Miami, FL",Male,US Air Force Academy; Georgia Institute of Tec...,Aeronautical Engineering,Electrical Engineering,Colonel,US Air Force,2,687,0,0,"STS-126 (Endeavor), STS-133 (Discovery)",NaN,NaN
88,Eugene A. Cernan,1963,3,Deceased,14-03-1934,"Chicago, IL",Male,Purdue University; US Naval Postgraduate School,Electrical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,566,4,24,"Gemini 9, Apollo 10, Apollo 17",16-01-2017,Natural causes
